city,state,estimated_ev,ev_forecast_2025,ev_forecast_2026,ev_forecast_2027,ev_forecast_2028,ev_forecast_2029
delhi,delhi,73487.0,82305,92182,103244,115633,129509
mumbai,maharashtra,119887.75270669852,134274,150387,168434,188646,211283
kolkata,west bengal,21455.0,24030,26913,30143,33760,37811
bangalore,karnataka,151272.0,169425,189756,212526,238029,266593
chennai,tamil nadu,90242.0,101071,113200,126784,141998,159037
hyderabad,telangana,74714.0,83680,93721,104968,117564,131672
pune,maharashtra,39514.51938208607,44256,49567,55515,62177,69638
ahmedabad,gujarat,48788.99793771912,54644,61201,68545,76770,85983
surat,gujarat,39828.00206228088,44607,49960,55955,62670,70191
lucknow,uttar pradesh,109300.28737943013,122416,137106,153559,171986,192624
jaipur,rajasthan,93818.0,105076,117685,131808,147624,165339
kanpur,uttar pradesh,87302.03710968411,97778,109512,122653,137371,153856
mirzapur,uttar pradesh,80697.67551088576,90381,101227,113374,126979,142217
nagpur,maharashtra,11548.86359729147,12935,14487,16225,18172,20353
vishakhapatnam,andhra pradesh,31506.0,35287,39521,44264,49575,55524
thane,maharashtra,9058.627957399207,10146,11363,12727,14254,15964
bhopal,madhya pradesh,67051.0,75097,84109,94202,105506,118167
patna,bihar,88186.0,98768,110621,123895,138762,155414
aurangabad,maharashtra,5641.373339594152,6318,7077,7926,8877,9942
raipur,chhattisgarh,37638.0,42155,47213,52879,59224,66331
nanded,maharashtra,2642.4896773364203,2960,3315,3713,4158,4657
aurangabad,maharashtra,5641.373339594152,6318,7077,7926,8877,9942
